no,harga,nama,rating
1,110000,Easton Kuta,3.7
2,130000,Hotel Segara Sadhu Inn,4
3,200000,Hotel The Hill Ungasan,4
4,120000,Restu Bali Hotel,4.1
5,120000,Mirah Hostel,4.2
6,335000,Hotel Rantun Place,4.2
7,2900000,The Ayu Kintamani Villa,4.2
8,190000,Hotel Nuraini,4.3
9,310000,CLV Hotel and Villa,4.3
10,500000,Pandawa Hill Resort,4.4
11,500000,Hotel Ubud Tropical Garden,4.4
12,580000,Uma Mani Villa,4.4
13,1070000,Hotel Anumana Ubud,4.4
14,1200000,Kuta Seaview Boutique Resort,4.4
15,1330000,The Sakala Resort,4.4
16,300000,Pandawa Beach Homestay,4.5
17,1320000,The Saren Hotel,4.5
18,1100000,Hotel Four Points, dengan rating,4.6
19,925000,Hotel PonDaNu,4.6
20,670000,Hotel Natya Tanah Lot,4.6
21,650000,Hotel Yello Kuta Beachwalk,4.6
22,5000000,Jumana Bali Ungasan Resort,4.6
23,470000,Hotel Kintamani Gold View,4.6
24,630000,Hotel Richland Bali,4.8
25,180000,Sugi Gede Homestay,4.8
26,230000,Pondok Agung,4.8
27,400000,Rostika Villa Sekumpul,4.9
